day_of_week,shift,peak_period,staff_count,order_volume,avg_items_per_order,avg_pick_distance_m,automation_utilization_pct,absenteeism_pct,equipment_downtime_min,new_hire_share_pct,throughput_units_per_hour
Saturday,Night,0,45,655,2.31,20.6,66.8,4.5,1.2,18.1,109.8
Thursday,Evening,0,51,531,3.52,25.2,81.5,8.5,15.9,20.4,103.1
Saturday,Day,0,23,439,3.09,25.8,82.4,2.5,20.6,5.4,88.3
Friday,Evening,0,27,347,2.18,21.9,78.7,8.1,13.8,12.5,83.5
Monday,Day,0,19,509,2.51,15.4,70.2,4.4,12.5,20.5,81.5
Sunday,Evening,0,36,450,2.5,17.2,76.5,0.9,10.8,5.0,113.1
Saturday,Evening,0,36,354,2.89,28.9,68.5,7.0,4.3,7.3,96.4
Saturday,Day,1,19,731,2.69,29.5,88.1,9.4,3.1,16.6,90.1
Monday,Day,0,43,429,2.17,20.8,83.7,4.0,9.1,10.9,120.8
Thursday,Evening,1,18,685,2.03,23.6,79.8,9.9,4.8,1.0,104.6
Wednesday,Day,0,48,512,3.1,29.2,72.3,0.2,9.6,9.8,119.3
Sunday,Night,0,44,372,2.96,11.8,99.0,1.6,2.3,24.2,101.0
Friday,Evening,0,48,540,2.86,19.3,65.0,4.8,4.3,26.4,108.3
Saturday,Evening,0,22,443,2.95,34.1,62.6,4.1,3.3,7.5,80.8
Thursday,Day,0,51,434,2.46,23.8,77.2,3.2,6.5,5.6,117.1
Tuesday,Evening,0,38,394,2.9,15.2,75.4,5.6,17.4,8.8,99.8
Thursday,Night,0,50,537,4.2,22.7,89.0,3.6,4.0,24.6,117.0
Monday,Day,1,44,608,3.45,28.1,86.5,4.1,4.9,17.9,124.9
Saturday,Day,0,42,640,2.64,8.0,78.3,6.0,24.4,22.2,115.5
Friday,Day,1,19,849,2.51,23.1,85.0,3.2,5.9,19.0,104.0
Saturday,Day,1,44,620,1.3,19.8,84.8,4.9,19.6,2.8,133.8
Wednesday,Evening,1,35,353,3.39,12.1,99.0,3.3,38.1,5.4,80.5
Sunday,Evening,0,50,554,3.23,22.5,80.5,1.6,0.3,7.1,127.3
Sunday,Evening,1,43,603,2.5,21.2,73.2,7.5,8.9,8.3,120.2
Saturday,Day,1,20,608,2.01,21.9,82.0,10.3,11.2,7.3,110.6
Tuesday,Day,1,51,589,2.16,19.9,53.8,8.4,2.2,8.1,133.2
Thursday,Day,0,20,436,3.04,15.9,77.7,6.2,13.8,16.5,89.9
Monday,Night,0,29,533,2.75,13.3,88.9,3.3,15.7,13.0,83.0
Tuesday,Evening,1,26,640,3.18,17.9,86.0,4.3,5.5,20.5,101.1
Friday,Day,0,55,622,2.85,27.2,81.0,8.4,11.2,13.8,142.8
Saturday,Evening,0,23,537,3.33,23.4,84.5,0.0,1.5,7.3,94.3
Sunday,Day,0,50,446,3.0,21.6,89.0,4.1,3.2,13.3,122.6
Wednesday,Day,0,26,433,3.26,15.8,92.3,7.4,9.2,1.4,94.7
Wednesday,Day,0,42,523,1.65,19.8,82.5,1.8,20.5,0.0,134.4
Thursday,Night,1,21,688,2.12,26.4,76.8,6.5,5.3,16.5,85.2
Tuesday,Evening,1,32,720,2.6,25.0,56.9,6.3,8.6,19.1,100.5
Monday,Evening,1,41,590,3.39,19.1,89.8,0.8,9.1,12.5,124.4
Thursday,Day,0,45,492,3.83,8.0,83.2,5.5,5.1,9.3,106.7
Tuesday,Day,0,51,520,2.71,18.0,79.5,3.3,5.4,2.6,132.0
Friday,Evening,0,49,444,2.46,19.1,71.1,6.4,12.3,20.2,101.6
Thursday,Day,0,37,367,1.72,16.6,87.7,7.2,3.9,15.4,114.1
Saturday,Night,0,29,388,3.27,19.5,75.4,6.4,3.8,14.0,96.1
Friday,Evening,0,27,457,2.5,26.9,77.7,5.4,11.1,12.0,81.7
Wednesday,Day,1,55,713,4.43,21.8,79.4,6.1,7.8,8.7,131.7
Saturday,Evening,0,41,610,2.39,27.9,82.5,1.7,9.0,4.2,139.4
Saturday,Night,0,52,336,3.96,12.9,66.5,5.1,7.0,13.8,97.1
Wednesday,Evening,0,34,393,3.21,20.2,83.6,2.8,4.5,8.2,88.5
Wednesday,Evening,0,36,416,2.23,10.4,70.8,8.3,10.7,9.0,106.8
Friday,Night,0,49,530,2.93,19.4,71.1,7.2,3.3,24.0,106.9
Monday,Day,0,45,405,3.22,15.7,86.9,7.2,26.4,11.7,103.6
Tuesday,Night,0,25,379,2.68,29.7,68.0,10.3,24.7,0.0,74.9
Monday,Day,0,37,321,3.26,24.5,86.8,4.2,30.6,8.3,74.3
Saturday,Evening,1,26,716,3.25,28.1,81.0,3.6,8.2,5.0,103.1
Friday,Evening,0,46,465,3.13,19.4,61.5,4.1,5.0,11.0,97.0
Friday,Evening,0,19,418,2.79,15.9,91.6,0.4,18.7,2.0,86.8
Saturday,Evening,0,49,465,2.15,15.7,81.1,0.6,7.1,15.0,121.9
Thursday,Evening,0,53,562,2.76,23.6,81.9,7.1,12.9,9.9,111.3
Friday,Day,0,18,405,2.9,32.9,88.1,1.0,12.9,8.7,85.1
Monday,Day,0,41,375,1.77,24.5,93.0,2.0,3.4,13.0,118.1
Monday,Day,1,21,754,2.89,19.8,82.0,4.9,10.5,11.5,92.2
Friday,Evening,0,31,487,2.75,20.9,84.2,4.0,12.5,11.1,86.3
Thursday,Day,0,30,539,2.09,21.8,81.7,7.9,6.5,10.4,105.4
Friday,Day,0,37,538,2.62,34.2,74.6,5.4,1.7,11.9,93.9
Saturday,Night,0,52,462,2.63,29.4,62.2,2.8,19.0,14.4,102.2
Friday,Day,0,35,467,3.86,23.6,80.1,8.1,26.0,13.5,94.0
Thursday,Day,1,33,734,2.92,22.7,93.8,7.4,7.5,19.9,120.7
Thursday,Day,0,21,585,3.37,23.8,83.8,1.0,5.4,8.2,93.4
Wednesday,Day,0,51,573,2.74,25.0,67.3,6.0,1.4,13.7,126.4
Monday,Evening,0,29,322,1.77,19.5,89.0,3.1,7.9,29.1,79.0
Thursday,Day,0,35,599,3.17,16.9,74.9,3.0,4.7,11.7,113.9
Tuesday,Day,1,21,611,2.44,28.2,59.1,10.8,1.4,12.0,87.0
Wednesday,Night,0,28,353,2.62,22.1,88.2,5.6,13.8,3.2,73.4
Saturday,Night,0,39,449,2.22,27.7,68.5,4.5,10.9,7.0,100.0
Tuesday,Evening,0,52,524,2.84,31.9,95.8,5.5,4.2,11.3,109.9
Monday,Night,0,30,461,3.39,25.1,89.5,7.8,22.6,15.7,65.5
Wednesday,Night,0,39,401,3.31,24.2,75.7,3.1,6.7,16.5,82.5
Wednesday,Day,0,51,550,3.67,41.2,82.6,3.6,7.6,14.3,112.4
Friday,Evening,0,31,493,3.75,23.2,99.0,7.2,5.9,17.6,105.3
Thursday,Evening,0,29,401,1.67,15.5,88.0,0.7,15.2,5.0,104.9
Saturday,Day,1,19,623,2.14,20.3,82.4,8.2,10.6,15.4,100.4
Friday,Day,0,52,539,1.81,31.3,99.0,0.4,0.8,12.1,142.7
Wednesday,Day,0,22,462,3.15,14.2,79.2,4.5,7.1,12.9,90.1
Saturday,Evening,0,26,359,2.42,17.5,83.8,0.4,12.8,9.5,101.7
Tuesday,Evening,0,23,525,2.53,28.6,68.6,2.0,1.4,5.3,76.5
Monday,Evening,0,44,389,2.68,20.4,61.3,9.1,12.7,3.5,100.1
Monday,Day,0,31,606,3.01,21.3,75.1,8.3,10.8,14.2,94.6
Saturday,Day,0,44,377,1.98,28.4,78.4,8.7,2.8,15.5,114.3
Thursday,Evening,0,41,438,2.11,17.7,81.3,0.9,5.8,11.1,117.4
Tuesday,Evening,0,18,379,2.8,13.2,63.8,2.0,2.0,11.9,83.0
Thursday,Night,0,29,337,3.46,13.7,84.6,6.2,4.2,7.0,96.3
Tuesday,Night,0,18,374,2.79,25.5,69.7,7.3,5.7,15.5,55.0
Friday,Night,0,20,623,2.36,23.6,84.1,2.8,11.6,12.4,94.1
Thursday,Night,0,35,444,1.62,17.8,87.3,3.5,13.3,9.4,99.4
Wednesday,Night,0,28,350,3.32,15.0,74.0,1.8,8.5,18.1,74.3
Wednesday,Evening,1,21,456,2.4,20.4,70.4,10.2,5.5,16.5,95.6
Friday,Day,0,33,336,2.17,28.7,93.4,3.8,12.4,1.2,105.2
Wednesday,Day,0,35,419,1.86,17.0,86.7,5.3,7.7,12.3,105.6
Monday,Day,0,55,395,2.01,18.0,79.5,5.5,9.2,5.3,134.8
Monday,Day,0,43,434,2.27,14.9,92.7,8.5,13.8,13.0,113.2
Sunday,Day,0,32,259,2.67,19.8,78.8,2.3,11.8,0.0,92.4
Sunday,Night,0,35,421,2.14,24.0,71.8,8.7,9.2,13.4,83.4
Friday,Day,0,21,598,2.9,34.7,68.0,1.4,10.6,17.0,86.1
Tuesday,Night,1,32,754,2.66,23.3,78.9,8.7,4.1,11.2,98.7
Sunday,Evening,1,40,455,4.02,21.7,87.7,0.1,3.6,3.8,119.4
Saturday,Evening,0,18,414,1.86,27.2,91.9,4.9,25.8,25.7,76.3
Saturday,Evening,1,52,589,2.89,26.2,80.2,10.1,3.5,20.1,126.7
Thursday,Day,1,37,669,2.9,18.5,92.1,7.3,13.9,8.3,135.9
Tuesday,Evening,0,47,329,2.23,35.8,75.9,6.5,5.4,10.2,100.2
Monday,Day,0,28,615,2.85,21.9,70.2,2.1,11.5,0.0,113.3
Sunday,Night,0,49,434,3.22,23.4,64.9,3.0,0.7,15.3,114.9
Thursday,Day,0,31,463,2.85,25.3,72.9,9.2,1.8,2.4,108.5
Tuesday,Day,0,53,616,3.56,24.1,65.3,6.6,14.5,16.7,130.5
Wednesday,Evening,0,37,448,1.6,31.2,98.1,7.9,1.2,19.2,93.6
Friday,Evening,1,42,698,2.34,18.5,84.4,5.4,4.2,11.5,129.8
Tuesday,Evening,0,25,374,3.61,26.7,77.0,4.4,19.3,4.5,70.1
Saturday,Evening,0,55,360,3.3,23.0,95.2,7.5,13.3,20.7,114.3
Saturday,Day,0,25,452,3.1,27.9,65.0,6.0,5.2,12.0,82.3
Saturday,Evening,0,19,698,3.48,20.7,76.6,4.7,3.5,12.7,88.1
Thursday,Day,1,34,715,1.75,19.9,99.0,1.0,21.4,5.5,117.6
